commenttext,classification
fill of value byte,0
be sure to pick up any trailing bracket,0
if the bundle can not be found the normal way try to find it a the base url if that also doe not work rethrow the original exception,0
is the first character a special character i e something other than \?,0
note isrelative hierarchical,0
return null if the specified value is null or would be a valid path segment array of a uri otherwise the value of the first invalid segment,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
is it the start of a source uri of an annotation \?,0
obtain other dependent package,0
recompute the read only state,0
return value null validate value segment char hi segment char lo true true,0
refresh any action that may become enabled or disabled,0
go through class super type to catch constraint from other package,0
javadoc copied from interface,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
javadoc copied from interface,0
non nls,0
if this is just a proxy being resolved,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
empty,0
fill of value byte fill of value byte,0
empty,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
empty,0
fill of value byte fill of value byte fill of value byte fill of value byte,0
empty,0
do nothing,0
note authority null hierarchical authority null device null ! absolutepath scheme null,0
fill of value byte,0
ignore,0
fill of value byte fill of value byte fill of value byte,0
update the classifier and hence the raw type a normal,0
call validatexxx for the corresponding classifier of the model generated,0
if the node is le than line long but it content is replaced by multiple line comment out each line in it,0
fill of value byte fill of value byte fill of value byte fill of value byte,0
find the closing,0
non javadoc see org eclipse emf ecore util basicextendedmetadata isfeaturekindspecific,0
cause a syntax error,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
decode all encoded character,0
if that fails determine the url for the class itself the url will be of one of the following form so there are a few good place to consider looking for the plugin property for a plugin xml with runtime common jar jar file d sandboxunpackage m eclipsepluginsorg eclipse emf commoncommon jar ! orgeclipsecommoncommonplugin class for a plugin xml with runtime runtimecommon jar jar file d sandboxunpackage m eclipsepluginsorg eclipse emf commonruntimecommon jar ! orgeclipsecommoncommonplugin class for a plugin xml with runtime where the plugin is jarred jar file d sandboxunpackage m eclipsepluginsorg eclipse emf common jar ! orgeclipsecommoncommonplugin class for a plugin xml with runtime where the plugin is not jarred file d sandboxunpackage m eclipsepluginsorg eclipse emf commonorgeclipseemfcommoncommonplugin class running in pde with bin on classpath file d sandboxunpackage m eclipsepluginsorg eclipse emf commonbinorgeclipseemfcommoncommonplugin class,0
javadoc copied from base class,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
check for a count i e a followed by a number,0
fill of value byte,0
look for trailing count,0
fill of value byte fill of value byte fill of value byte,0
look for a matching named element,0
return econtainerfeatureid,0
find the uppermost class loader in the hierarchy that can load the class,0
fill of value byte fill of value byte fill of value byte,0
jcontrolmodel class is used with classnames that were not found,0
fill of value byte fill of value byte fill of value byte,0
"""""",0
do nothing,0
register with the upper most class loader that 's able to load the class,0
fill of value byte fill of value byte,0
this let 's u test whether the string exists a a file if not we try a a uri,0
or if it 's a wildcard or group feature also make it featuremap typed,0
first try to see if this class ha an einstance,0
try and get the resource selection to determine a current directory for the file dialog,0
first try to see if this class ha an einstance,0
do nothing,0
remember the file,0
fill of value byte fill of value byte fill of value byte,0
do the work within an operation,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
note authority null hierarchical authority null device null ! absolutepath scheme null,0
no authority use base 's,0
create a resource set,0
non javadoc see org eclipse emf ecore util extendedmetadata getnamespace org eclipse emf ecore epackage,0
get the uri of the model file,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
return true if the given value is an archive scheme a defined by the org eclipse emf common util uri archiveschemes system property by default jar zip and archive are considered archive,0
if the feature is a bidirectional reference with a multiplicity many reverse a composite reverse or a multiplicity reverse that is already set on value then we 'll switch thing around and execute this command a little differently because otherwise it 's not undoable,0
add the initial model object to the content,0
if a sibling ha been specified add the best index possible to each commandparameter,0
save the content of the resource to the file system,0
there are attribute to handle,0
make sure the file end in ecore,0
genpackage can be a broken proxy,0
create a page set the title and the initial model file name,0
we never directly set a multiplicity many feature to a list directly instead we remove the old value value move the value that remain and insert the new value if all old value are removed we 'll still set it to an empty list or unset it a appropriate,0
get the resource,0
absolute path or no path absolute path,0
this give u a directory,0
this ensures that we handle selection correctly,0
set this for the container,0
if the relative path is empty or end in an empty segment a parent reference or a self reference add a trailing separator to a non empty path,0
ignore,0
this return a name like employeenumber formatted like 'employee number this return the same a getcapname unless it start with is in which case the is is stripped this return the name to be used in accessor method name it 's the same a getcapname unless this is the key or value of a map entry for which typed is prepended this return the name of the get array based accessor method for the list feature this return the name of the get accessor method for the feature i e either is or get is prefixed to getaccessorname,0
create an adapter factory that yield item provider,0
do nothing,0
ignore,0
for a many to many association the command can only be undoable if the value or owner is last in it respective list since the undo will include an inverse add so if the value is last but the owner is not we create an undoable compound command that remove from the opposite end and then insert the new value,0
evirtualindexbits offset newindexbits,0
if there is no list to add to no collection or an empty collection from which to add or the index is out of range,0
evirtualvalues newvalues,0
this is package so check the package information if this is in cat file if it is then load the cat file into the tree thereby traversing it otherwise just traverse the tree,0
create the command stack that will notify this editor a command are executed,0
no device use base 's,0
add a listener to set the most recent command 's affected object to be the selection of the viewer with focus,0
setting at an index make sure the index is valid the type is valid and the value is not already in a unique feature record the old value,0
try to select the affected object,0
since base must be hierarchical and since a non hierarchical uri must have both scheme and opaque part the complete absolute uri is needed to resolve to a non hierarchical uri,0
make sure it 's okay,0
if the other end is a many then we should remove the owner from the old value 's opposite feature so that undo will put it back,0
look for a likely plugin name,0
create type parameter,0
try to select the item in the current content viewer of the editor,0
"""""",0
if found no data just return null,0
if it 's a platform plugin uri include it in the map,0
if it is changing,0
keep track of all the entry feature that are already in the feature map and that will be added excluding xml text cdata and comment if we 're in a mixed type,0
create the listener on demand,0
else keep authority device path and query,0
stop listening to the old one,0
determine the value to be added and add them at the right position,0
note it 's okay for two uris to share a segment array since neither will ever modify it,0
find the fragment root so that we can generate to the right location by default,0
non nls non nls non nls non nls,0
select the root object in the view,0
return the base portion of the dynamic template path,0
non nls non nls non nls non nls,0
start listening to the new one,0
non javadoc see org eclipse ui iactiondelegate run org eclipse jface action iaction,0
remember it,0
either delegate the call or return nothing,0
remove any non java dependency from being added,0
now we could check that the adapter implement interface itableitemfontprovider,0
it 's okay for there not be a precompiled template so fail quietly,0
create package meta data object,0
eatm getdecoratedadapterfactory,0
we do not need to encode here because the only platform resource uris in the map are for project whose name are the same a corresponding plug in id and hence never need to be encoded see ecoreplugin computeplatformresourcetoplatformpluginmap,0
set the editor selection based on the current viewer 's selection,0
"""""",0
there must be at least one match,0
non javadoc method declared on dialog,0
gentypeparameter,0
this implement the following order of preference full refresh and update full refresh add update if necessary refresh element with update refresh element if necessary update element,0
gentypedelement,0
the trycatch provides backwards compatibility with the old resource key ui createchild label and should be removed at the next release when we can expect user to regenerate,0
create the listener on demand,0
eatm color startcolor display getsystemcolor swt color list selection,0
genruntimeversion,0
these will be the child belonging to this feature,0
genmodelpackage,0
there is no executable command so we 'd better nix the whole deal,0
this return either attribute attribute list reference or reference list,0
do the encoding,0
getfirstfileextension \?,0
get the target object from the item widget and the mouse location in it,0
add variable fragment to new declaration,0
determine if we can create a valid command at the current location,0
load the resource through the editing domain,0
non javadoc see org eclipse emf ecore util extendedmetadata gettype org eclipse emf ecore epackage java lang string,0
javadoc copied from interface,0
the adapter factory for the model it provides an adapter createxxx method for each class of the model see org eclipse emf mapping ecore xml ecore xmlpackage generated,0
javadoc copied from interface,0
otherwise the source should be available now a event data and we can create the command,0
javadoc copied from interface,0
either the ieditingdomainitemprovider or itreeitemcontentprovider item provider interface can give u the child,0
eatm getdecoratedadapterfactory,0
initialize simple dependency,0
create a page for the selection tree view,0
the switch for the model 's inheritance hierarchy it support the call link doswitch eobject doswitch object to invoke the casexxx method for each class of the model starting with the actual class of the object and proceeding up the inheritance hierarchy until a non null result is returned which is the result of the switch see org eclipse emf mapping ecore xml ecore xmlpackage generated,0
the content outline is just a tree,0
initialize created meta data,0
genmodelfactory,0
current document reference keep no path or query,0
set up the tree viewer,0
call casexxx for each class of the model until one return a non null result it yield that result return the first non null result returned by a casexxx call generated,0
ignore if there is not substantial change,0
constructor,0
lower all except the last upper case character if there are more than one upper case character in the beginning e g xsdelementcontent xsdelementcontent however if the whole string is upper case the whole string is turned into lower case e g cpu cpu,0
mark meta data to indicate it can not be changed,0
select the root object in the view,0
look for each unwrapped object a a value of a wrapper replacing it with the first one found,0
make sure our popups work,0
set bound for type parameter,0
genannotation,0
it must be an unsettable feature to be empty and considered set,0
javadoc copied from interface,0
matching authority and no device or path removal,0
always keep fragment even if null and use scheme from base no validation needed since all component are from existing uris,0
register package validator,0
javadoc copied from interface,0
check to see if a container is being put into a contained object,0
listen to selection so that we can handle it is a special way,0
new addcommand domain mapping mapping epackagemapping getmapping nested siblingstoreparent,0
static initialization,0
trick to import java util without warning,0
set the selection to the widget,0
non nls,0
save only resource that have actually changed,0
do allow an existing manifest mf to be overwritten since it may have been created a part of an empty emf project use the existence of a plugin xml a a guard against overwriting in a project that ha already been generated,0
add a listener to set the most recent command 's affected object to be the selection of the viewer with focus,0
if there is not an executable command we should maybe try a copy operation but only if we 're allowed and not doing a link,0
remember it,0
the type string must be qualified by it package uri e g dtd xmi dtdelement the package uri is used to look up the package by calling refregister getpackage uri,0
this is the method that get invoked when the operation run,0
this will be the default return value,0
save the resource to the file system,0
non javadoc see org eclipse emf mapping action addrootbottomaction getbottomstoadd,0
refresh the necessary state,0
try again,0
something went wrong that should not,0
otherwise we could check that the adapter implement interface iitemcolorprovider,0
javadoc copied from interface,0
now we could check that the adapter implement interface itableitemcolorprovider,0
remember the file,0
and delegate the call,0
do the work within an operation,0
ignore,0
create a resource set,0
this turn a featureless set command into an operation to create a mapping this is invoked during drag and drop,0
genenumimpl,0
"""""",0
get the uri of the model file,0
we 've switch the operation !,0
select the new file resource in the current view,0
if the type is not object we need to cast if it 's a primitive we need to unbox,0
use a stack to accumulate segment of base except for the last i e skip trailing separator and anything following it and of relative path,0
now we want to find all the other object with this same parent so we can collection sibling together and give the parent control over their removal,0
we can not have a null name in case we 're using emof serialization,0
determine the object 's parent,0
static initialization,0
if it 's an interface then it will be treated a an eclass,0
create type parameter,0
this return either eattribute or ereference,0
ignore,0
eclass getesupertypes addall extend eclass getesupertypes addall unspecified eclass getesupertypes addall mixin eclass getesupertypes addall nonclass,0
continue to compute the offset,0
defer the handling of the opposite,0
ignore,0
this guard is for extra security but should not be necessary,0
remember the static instance,0
the entity handler is the best place to resolve and deresolve uris since it can do it there just once to produce the entity so most often the entity handler will be a uri handler a well and when used a a uri handler will be an identity handler,0
switch to the new selection provider,0
do this first for better error message during seteparameterproperties,0
fake a selection changed event to update the menu,0
set property,0
ignore,0
index counter into index index and index,0
javadoc copied from interface,0
just remember it it 's encoded later during execution which is more efficient,0
javadoc copied from interface,0
remove object from the owner list by index starting from the end,0
genmodelfactoryimpl,0
we do not want to insert an object before or after itself,0
add iana to java encoding mapping,0
create a code formatter for this compilation unit if needed,0
get the resource,0
this is the feedback we use to indicate drop on it will only be used if the command is executable,0
get the resource parent if it a file,0
we 'd like the collection of replacement selected after this replace completes,0
set bound for type parameter,0
repeatedly select the lower index and corresponding object and advance past the selected pair,0
this give u a directory,0
wrap any new child and add them to the map remove each current child from the set of old child,0
ignore this soft dependency when it 's not satisfied,0
simply remove the object from the owner list,0
make up a unique new name here,0
trick to import java util without warning,0
prepare for createchild item addition or removal,0
check all the sibling to see which if any should now be nested under this new mapping the are accumulated into a list so that they can be removed a a single command with a single notification,0
j ha problem assigning null to a class variable,0
trick to import java util without warning,0
always return original value,0
we 'll assume that the copy command can execute and that adding a copy of the clipboard is the same test a adding the clipboard content itself,0
recompute the read only state,0
use the original to do the add but only if it 's of the same type a the copy this ensures that if there is conversion being done a part of the copy a would be the case for a cross domain copy in the mapping framework that we do actually use the converted instance,0
add added super interface to the array,0
mappingroot epackagemapping getmapping output mappingroot epackagemapping getmapping input,0
javadoc copied from base class,0
special case for a reference to ecore to ensure that flag setting are respected and are set only for ecore itself,0
not supported in jdom,0
testcaseunsetgenfeature annotation insert javajetinc,0
only fragment left revert the change,0
we 'll assume that all the createcopycommand 's and initializecopycommand 's can execute,0
javadoc copied from interface,0
obtain other dependent package,0
split is performed,0
for removecommand we will find the owner by calling editingdomain getparent on the object s being removed,0
not supported in jdom,0
setresourcefactoryregister new extensiblecontextresourcefactoryregister eatm setresourcefactoryregister new contextresourcefactoryregister,0
name already contains unset on demand property,0
fill of value byte fill of value byte fill of value byte fill of value byte,0
three argument are expected the xml getcontrolmodel uri the source java uri and the target java uri,0
for list map and feature map the default is many valued which can be overridden by an upper bound declaration,0
javadoc copied from interface,0
if there is no ecore representation or it 's invalid e g when is used to omit a specification then just use the java representation,0
javadoc copied from interface,0
container are transient by default unless explicitly annotated otherwise,0
javadoc copied from interface,0
consider each genmodel location uri for each required plugin,0
prepare for createsibling item addition or removal,0
get extra icon and bound for first column of extendedtabletreeitem,0
force an update because eclipse hide empty menu now,0
if the notification is an iviewernotification it specifies how viewerrefresh should behave otherwise fall back to notifychangedtoviewerrefresh which determines how to refresh the viewer directly from the model notification,0
remove any menu item for old selection,0
a setcommand need to go through setcommand create to ensure it can execute and undo,0
query the new selection for appropriate new childsibling descriptor,0
initialize enums and add enum literal,0
generate action for selection populate and redraw the menu,0
draw ellipsis offset if down,0
empty extension to limit the effect of suppressing the deprecation warning,0
protected command createsetcommand editingdomain domain object owner object feature object value return ieditingdomainitemprovider decorateditemprovider createcommand owner domain setcommand class new commandparameter owner feature value protected command createcopycommand editingdomain domain object owner copycommand helper helper return ieditingdomainitemprovider decorateditemprovider createcommand owner domain copycommand class new commandparameter owner null helper protected command createcreatecopycommand editingdomain domain object owner copycommand helper helper return ieditingdomainitemprovider decorateditemprovider createcommand owner domain createcopycommand class new commandparameter owner null helper protected command createinitializecopycommand editingdomain domain object owner copycommand helper helper return ieditingdomainitemprovider decorateditemprovider createcommand owner domain initializecopycommand class new commandparameter owner null helper protected command createremovecommand editingdomain domain object owner object feature collection collection return ieditingdomainitemprovider decorateditemprovider createcommand owner domain removecommand class new commandparameter owner feature collection protected command createreplacecommand editingdomain domain object owner object feature object value collection collection return ieditingdomainitemprovider decorateditemprovider createcommand owner domain replacecommand class new commandparameter owner feature value collection protected command createaddcommand editingdomain domain object owner object feature collection collection int index return ieditingdomainitemprovider decorateditemprovider createcommand owner domain replacecommand class new commandparameter owner feature collection index protected command createmovecommand editingdomain domain object owner object feature object value int index return ieditingdomainitemprovider decorateditemprovider createcommand owner domain replacecommand class new commandparameter owner feature value index protected command createdraganddropcommand editingdomain domain object owner float location int operation int operation collection collection draganddropcommand detail detail new draganddropcommand detail location operation operation return ieditingdomainitemprovider decorateditemprovider createcommand owner domain draganddropcommand class new commandparameter owner detail collection,0
get the adapter from the factory,0
iterate over all the plugin id to determine the dependency closure the list grows a the plugins are visited,0
look into subcontributionitems,0
else keep device path and query,0
delete the actioncontributionitems with matching action,0
now we could check that the adapter implement interface itableitemcolorprovider,0
if it 's really a contained child return the feature for it,0
we 'll need to keep track of the information we use to create the command so that we can recreate it in drop,0
change to the parameter should also update the label,0
return true if the non relative path includes segment that would be collapsed when resolving false otherwise if preserverootparents is true collapsible segment include any empty segment except for the last segment a well a and parent and self reference if preserverootsparents is false parent reference are not collapsible if they are the first segment or preceded only by other parent reference,0
the shared instance,0
ignore the unset notification for an ismany feature the value is boolean in this case,0
remember the static instance,0
if necessary get a command that replaces unwrapped value by their wrapper in the result and affected object,0
inputstream content new bytearrayinputstream byte,0
now we could check that the adapter implement interface itableitemlabelprovider,0
initialize created meta data,0
if we have child to remove for this feature create a command for it,0
create helper to cache and supply information for unique naming,0
do nothing,0
genannotationimpl,0
create ok and cancel button by default,0
create package meta data object,0
set the error message text see,0
initialize simple dependency,0
walk the field,0
obtain or create and register package,0
index of first segment that is different between endpath and startpath,0
mark meta data to indicate it can not be changed,0
if the local transfer support this data type switch to that data type,0
create the option model,0
drop last segment from base a in resolving,0
add supertypes to class,0
the switch that delegate to the createxxx method generated,0
set bound for type parameter,0
treat an empty base path a the root absolute path,0
create class and their feature,0
classunsetgenfeature override javajetinc,0
create enums,0
this is for backwards compatibility since the constructor may have been overridden before it wa expected to set actiondelegate,0
create type parameter,0
etype instanceof edatatype,0
genmodelpackageimpl,0
determine the required plugins,0
create resource,0
in column the drop down is indented past the collapseexpand icon,0
doe nothing,0
user reject a relative path keep absolute or no path,0
fb tbd different object for ecore model !,0
draw the icon,0
i assume that the editorinput is a file object,0
matching device and no path removal,0
clear the import manager,0
classgetgenfeature todo override javajetinc,0
basicemap this removeentry index j,0
initialize package,0
order genpackages by putting firstgenpackage if non null first,0
remember the viewer and listen to swt dragdetect to alert the start of the drag operation,0
fb tbd different object for ecore model !,0
obtain or create and register package,0
genfeatureimpl,0
text new text composite swt single swt border text setlayoutdata new griddata griddata grab horizontal griddata horizontal align fill,0
if the value is null the key is a referenced object,0
keep query and select relative or absolute path based on length,0
generatecolor,0
return a correctly sized result,0
set from link ischildren child if unset and return value,0
create package meta data object,0
ereversefeature isnavigable,0
"""""",0
handle the creation of the model from the modelfile,0
for debugging purpose may be removed in the future,0
go through class super type to catch any from other package,0
for the control case we need a dialog to ask for the uri and obtain the resource then we create the command,0
support for a proposed to be added to the iana registry in,0
if we are not getting the domain from the workbench part this happens when this action is used for a global popup action we try to get the editing domain from one of the object in the selection dm editingdomain null \?,0
scan feature list for those with multiple element and return them,0
nothing more to do and we do not want to do the default stuff below,0
gentypedelementimpl,0
initialize created meta data,0
data type,0
else keep shorter absolute path,0
remember the static instance,0
if we are not doing an operation,0
eobject is handled by default case,0
clean up the command if there is one if we need it again in drop we 'll recreate it from draganddropcommandinformation,0
change to parameter type should also update the operation 's label,0
convert to an ereference,0
escaped unicode form,0
if we 've found thing with type parameter search them for a match,0
filter out type that are not permitted,0
we need the wrapper not the item provider to handle a draganddropcommand the move add remove etc command that implement it will have their value unwrapped a usual,0
restore the persistent command stack if need be,0
create a generic super type with an eclass a the classifier for each super interface in the model representation,0
filter out type that are not permitted,0
an operation is declared via the kind property or for backwards compatibility by specifying parameter though attribute or reference kind take precedence,0
support for a proposed to be added to the iana registry in,0
no index specified when removing all element,0
classunsetgenfeature javadoc override javajetinc,0
check if the name is qualified,0
avoid allowing choice that will lead to duplicate,0
mark meta data to indicate it can not be changed,0
return getpresentationpackagename geteditorpluginclassname,0
emf edit generation,0
create a page for the selection tree view,0
find the modeled package for the import and look up the name there,0
avoid allowing a choice that will lead to duplicate,0
just to be helpful we 'll recognize a type of org eclipse emf ecore util featuremap and convert it to efeaturemapentry this way a datatype need not be specified but we will not do this if recorddemandcreateedatatype is false so we do not change the instanceclass of a new edatatype that 's implicitly being defined for featuremap,0
ensure that there are enough type argument to match the number of type parameter,0
wrapper from the old command parameter must be considered in order for cut and paste to work,0
you can not add any child for a type parameter,0
look for the sibling value or an equivalent in the new child 's feature if it is found the child should immediately follow it,0
"""""",0
fill of value byte,0
trick to import java util without warning,0
save the content of the resource to the file system,0
otherwise you can not make it a child,0
testcaseissetgenfeature todo override javajetinc,0
let them choose type parameter a well,0
non nls non nls non nls,0
tbd,0
if it is a list type value,0
genpackageimpl,0
non nls non nls non nls non nls,0
protected jetemitter extendeditemprovideremitter null,0
either delegate the call or return nothing,0
itemprovidernewchilddescriptorsattributefeature override javajetinc,0
iterate over all the child reference to factor each child to the right reference,0
do not care about plugin class we can generate a model without one,0
subcommands appendandexecute new removecommand domain mapping mapping epackagemapping getmapping nested nestedmappings subcommands appendandexecute new addcommand domain parentmapping parentmapping epackagemapping getmapping nested nestedmappings,0
"""""",0
when the value is changed the property sheet page doe not update the property sheet viewer input before refreshing and this get called on the obsolete wrapper so we need to read directly from the model object return value,0
genmodelimpl,0
otherwise we could check that the adapter implement interface iitemlabelprovider,0
itemprovidernewchilddescriptorsattributedelegatedfeature override javajetinc,0
is the size of value,0
ignore,0
keep trying until all else ha failed,0
do not allow an existing manifest mf to be overwritten a the test project is originally generated from scratch,0
trick to import java util without warning,0
itemprovidernewchilddescriptorsreferencefeature override javajetinc,0
user demand a relative path or the absolute path is longer,0
check the type of the specified child object and return the proper feature to use for adding see link addcommand it a a child,0
it 's definitely a package if expected constant ename en prefix or en uri appear,0
putjava ianamapping string string,0
bottom label case,0
classgenoperation javadoc override javajetinc,0
this ensures that the createcopycommand will be executed by strictcompoundcommand prepare,0
do not allow an existing build property to be overwritten a the test project is originally generated from scratch,0
classdeclaredfieldgenfeature override javajetinc,0
todo,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
handle eopposite specially,0
if this owned object is equal to one from the collection,0
class basicunsetgenfeature override javajetinc,0
"""""",0
tbd,0
"""""",0
call casexxx for each class of the model until one return a non null result it yield that result return the first non null result returned by a casexxx call generated,0
remove object from the owner list by index starting from the end,0
itemprovidernewchilddescriptorsreferencedelegatedfeature override javajetinc,0
if there is more than one exact match we must get an index number,0
"""""",0
fill of value byte fill of value byte fill of value byte fill of value byte,0
filter out class that are not permitted,0
fill of value byte,0
genmodelvalidator,0
ignore,0
read all the value into an array,0
this can not execute if there is no owner list or the owner list doe not contain the value being replaced or there are not replacement,0
"""""",0
non javadoc see org eclipse emf mapping ecore ecore ecore ecoremapping getoutputepackage,0
genmodelswitch,0
non nls non nls,0
the switch that delegate to the createxxx method generated,0
trick to import java util without warning,0
genmodeladapterfactory,0
"""""",0
classsetgenfeature override javajetinc,0
create a resource set,0
trick to import java util without warning,0
this is for backwards compatibility since the constructor may have been overridden before it wa expected to set actiondelegate,0
itemprovidernewchilddescriptorsreferencedelegatedfeature override javajetinc,0
trick to import java util without warning,0
itemprovideraddpropertydescriptor override javajetinc,0
now we 'll do recursive matchmapping we need to iterate over a copy since we modify the underlying list in the loop,0
itemprovidergettext override javajetinc,0
trick to import java util without warning,0
itemprovidernewchilddescriptorsreferencefeature override javajetinc,0
fake a selection changed event to update the menu,0
read all the value into an array,0
constructor,0
this guard is needed to ensure that clear doe not make the resource become loaded,0
this is done to ensure that this new copy is treated a an output by the domain the createmappingcommand will rely on this setting,0
if we have not yet encrypted or decrypted generate a key this key will only be used for encryption decryption key are always derived from the header of the input stream itself,0
colormap put clr grad start clr,0
write the header to the output stream this ha the format delimeters are not written pbe iv encryption iv encrypted key length encrypted key,0
we 'd like the collection of thing added to be selected after this command completes,0
classsetgenfeature todo override javajetinc,0
iterate over the child to find the owner,0
classgetgenfeature annotation insert javajetinc,0
handle the same document proxy which may have problem resulting from the other end of a bidirectional reference being handled a an idref rather than a a proxy when we are done with these we know that funny proxy are now resolved a if they were handled a idrefs,0
"""""",0
merges this uri 's relative path with the base non relative path if base ha no path treat it a the root absolute path unless this ha no path either,0
make up a unique new name here non nls,0
removecommand removecommand create domain mappingroot mappingroot epackagemapping getmapping nested mappingroot getnested,0
non nls non nls non nls,0
we do not want to move insert an object before or after itself,0
the cipheroutputstream shoudl not close the underlying stream,0
exception printstacktrace,0
trick to import java util without warning,0
initialize the above array,0
"""""",0
return getproviderpackagename geteditpluginclassname,0
classreflectivedelegation override javajetinc,0
non javadoc see org eclipse emf codegen merge java facade ast astjabstracttype remove org eclipse emf codegen merge java facade ast astjnode,0
editoradditemproviderfactories override javajetinc,0
an absolute uri need no resolving,0
note these assertion imply that neither this nor the base uri ha a relative path thus both have either an absolute path or no path,0
non javadoc see org eclipse emf codegen merge java facade ast astjnode insertsibling org eclipse emf codegen merge java facade jnode org eclipse emf codegen merge java facade jnode boolean,0
classgetgenfeature override javajetinc,0
simply add the collection to the list,0
classgetgenfeature javadoc override javajetinc,0
empty block,0
classbasicsetgenfeature override javajetinc,0
note device ! null hierarchical,0
classbasicsetgenfeature todo override javajetinc,0
non nls,0
classbasicgetgenfeature annotation insert javajetinc,0
a valid fragment may be null or contain any allowed uri character,0
classbasicgetgenfeature override javajetinc,0
return the dynamic template path an ordered list of uris corresponding to location under which to find template,0
classbasicgetgenfeature todo override javajetinc,0
non javadoc see org eclipse emf codegen merge java facade abstractjnode computequalifiedname,0
classimplementedgenoperation todo override javajetinc,0
get utf byte for the remaining sub string,0
javadoc copied from interface,0
ignore the exception and return false,0
classissetgenfeature todo override javajetinc,0
ignore,0
getjava ianamapping string string,0
note query ! null hierarchical,0
classunsetgenfeature todo override javajetinc,0
non nls,0
classunsetgenfeature annotation insert javajetinc,0
non javadoc see org eclipse emf codegen merge java facade ast astjnode insertsibling org eclipse emf codegen merge java facade jnode org eclipse emf codegen merge java facade jnode boolean,0
classissetgenfeature javadoc override javajetinc,0
return value null validate value uric hi uric lo true true,0
classissetgenfeature annotation insert javajetinc,0
the switch for the model 's inheritance hierarchy it support the call link doswitch eobject doswitch object to invoke the casexxx method for each class of the model starting with the actual class of the object and proceeding up the inheritance hierarchy until a non null result is returned which is the result of the switch see org eclipse emf mapping mappingpackage generated,0
datatype,0
the switch for the model 's inheritance hierarchy it support the call link doswitch eobject doswitch object to invoke the casexxx method for each class of the model starting with the actual class of the object and proceeding up the inheritance hierarchy until a non null result is returned which is the result of the switch see org eclipse emf ecore change changepackage generated,0
trick to import java util without warning,0
the switch for the model 's inheritance hierarchy it support the call link doswitch eobject doswitch object to invoke the casexxx method for each class of the model starting with the actual class of the object and proceeding up the inheritance hierarchy until a non null result is returned which is the result of the switch see org eclipse emf ecore ecorepackage generated,0
classeunset override javajetinc,0
non javadoc see org eclipse emf ecore util extendedmetadata getname org eclipse emf ecore eclassifier,0
testcasegetgenfeature override javajetinc,0
non nls,0
we do not want to diagnose any error that have already been diagnosed by a super type,0
creates the model from the editor input,0
testcasegetgenfeature todo override javajetinc,0
the switch for the model 's inheritance hierarchy it support the call link doswitch eobject doswitch object to invoke the casexxx method for each class of the model starting with the actual class of the object and proceeding up the inheritance hierarchy until a non null result is returned which is the result of the switch see org eclipse emf mapping ecore ecore ecore ecorepackage generated,0
testcaseunsetgenfeature override javajetinc,0
fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte fill of value byte,0
testcasesetgenfeature todo override javajetinc,0
the first hex character if a character need to be escaped,0
testcaseunsetgenfeature todo override javajetinc,0
test the non null string value to see if it contains only ascii character in the set represented by the specified bit bitmask a well a optionally non ascii character xa and above and also optionally escape sequence of followed by two hex digit this method is used for the new strict uri validation that is not not currently in place,0
testcasesetgenfeature override javajetinc,0
if the workbench part change,0
testcasegenoperation annotation insert javajetinc,0
note segment length hierarchical,0
testcaseimplementedgenfeature override javajetinc,0
backward compatibility with old generated override,0
testcaseissetgenfeature annotation insert javajetinc,0
non nls,0
testcaseimplementedgenoperation override javajetinc,0
for a many to we use setcommand create to create the command to remove the opposite reference a removecommand on it opposite will actually result,0
add all converted field after the last final field that is used in initializers of the converted field,0
non nls,0
char buffer for html data,0
if endpath is shorter than startpath the last segment of endpath may not be compared because startpath ha been collapsed and had it last segment removed all preceding segment can be considered non empty and followed by a separator while the last segment of endpath will either be non empty and not followed by a separator or just empty,0
ignore because we 'll rethrow the original exception eventually,0
path form demand an absolute path keep it and query,0
continue processing dynamically a normal,0
query the new selection for appropriate new childsibling descriptor,0
iterate over all the operation but skip all the operation in the first super,0
for feature map test that the entry feature is a valid type that the entry value is an instance of it that there is not already something in a document root and that there is not already something in a single valued entry feature,0
non nls non nls non nls,0
try and get the resource selection to determine a current directory for the file dialog,0
pure obfuscated genius !,0
save the content of the resource to the file system,0
match close,0
do nothing,0
exception printstacktrace,0
